Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
01/01/1990,Skamania County                                             ,15.9%,6%,6.1%
01/01/1990,Snohomish County                                            ,5.1%,6%,6.1%
02/01/1990,Pierce County                                               ,5%,5.9%,6.3%
02/01/1990,Olympia MSA                                                 ,5.8%,5.9%,6.3%
02/01/1990,Lincoln County                                              ,5.2%,5.9%,6.3%
02/01/1990,Columbia County                                             ,17.2%,5.9%,6.3%
02/01/1990,Cowlitz County                                              ,8.9%,5.9%,6.3%
02/01/1990,Lewis County                                                ,13.6%,5.9%,6.3%
02/01/1990,Klickitat County                                            ,17.3%,5.9%,6.3%
02/01/1990,Kittitas County                                             ,8.7%,5.9%,6.3%
02/01/1990,Douglas County                                              ,9.7%,5.9%,6.3%
02/01/1990,Longview MSA                                                ,8.9%,5.9%,6.3%
02/01/1990,Ferry County                                                ,15.1%,5.9%,6.3%
02/01/1990,Kitsap County                                               ,4.1%,5.9%,6.3%
02/01/1990,Franklin County                                             ,13.1%,5.9%,6.3%
02/01/1990,Yakima MSA                                                  ,14.8%,5.9%,6.3%
02/01/1990,King County                                                 ,4.4%,5.9%,6.3%
02/01/1990,Jefferson County                                            ,6.8%,5.9%,6.3%
02/01/1990,Garfield County                                             ,5.8%,5.9%,6.3%
02/01/1990,Grant County                                                ,12.2%,5.9%,6.3%
02/01/1990,Grays Harbor County                                         ,13%,5.9%,6.3%
02/01/1990,Island County                                               ,4.2%,5.9%,6.3%
02/01/1990,Wenatchee MSA                                               ,10%,5.9%,6.3%
02/01/1990,Kennewick-Richland-Pasco MSA                                ,8.7%,5.9%,6.3%
02/01/1990,Spokane MSA                                                 ,6.7%,5.9%,6.3%
02/01/1990,Tacoma MSA                                                  ,5%,5.9%,6.3%
02/01/1990,Bremerton-Silverdale MSA                                    ,4.1%,5.9%,6.3%
02/01/1990,Bellingham MSA                                              ,6.4%,5.9%,6.3%
02/01/1990,Yakima County                                               ,14.8%,5.9%,6.3%
02/01/1990,Whitman County                                              ,1.7%,5.9%,6.3%
02/01/1990,Whatcom County                                              ,6.4%,5.9%,6.3%
02/01/1990,Walla Walla County                                          ,10.1%,5.9%,6.3%
02/01/1990,Wahkiakum County                                            ,13.3%,5.9%,6.3%
02/01/1990,Thurston County                                             ,5.8%,5.9%,6.3%
02/01/1990,Stevens County                                              ,9.4%,5.9%,6.3%
02/01/1990,Mount Vernon-Anacortes MSA                                  ,9.1%,5.9%,6.3%
02/01/1990,Spokane County                                              ,6.7%,5.9%,6.3%
02/01/1990,Snohomish County                                            ,5.6%,5.9%,6.3%
02/01/1990,Skamania County                                             ,17%,5.9%,6.3%
02/01/1990,Adams County                                                ,11.9%,5.9%,6.3%
02/01/1990,Skagit County                                               ,9.1%,5.9%,6.3%
02/01/1990,San Juan County                                             ,5.3%,5.9%,6.3%
02/01/1990,Asotin County                                               ,6.3%,5.9%,6.3%
02/01/1990,Clark County                                                ,5.5%,5.9%,6.3%
02/01/1990,Pend Oreille County                                         ,16.9%,5.9%,6.3%
02/01/1990,Benton County                                               ,7.3%,5.9%,6.3%
02/01/1990,Pacific County                                              ,12.5%,5.9%,6.3%
02/01/1990,Chelan County                                               ,10.1%,5.9%,6.3%
02/01/1990,Clallam County                                              ,10.3%,5.9%,6.3%
02/01/1990,Seattle-Bellevue-Everett MSA                                ,4.7%,5.9%,6.3%
02/01/1990,Okanogan County                                             ,12.3%,5.9%,6.3%
02/01/1990,Mason County                                                ,7.6%,5.9%,6.3%
03/01/1990,Kitsap County                                               ,4.1%,5.5%,5.7%
03/01/1990,King County                                                 ,4.1%,5.5%,5.7%
03/01/1990,Jefferson County                                            ,5.3%,5.5%,5.7%
03/01/1990,Adams County                                                ,11.3%,5.5%,5.7%
03/01/1990,Asotin County                                               ,5.7%,5.5%,5.7%
03/01/1990,Island County                                               ,3.8%,5.5%,5.7%
03/01/1990,Benton County                                               ,6.3%,5.5%,5.7%
03/01/1990,Chelan County                                               ,9.7%,5.5%,5.7%
03/01/1990,Clallam County                                              ,7.8%,5.5%,5.7%
03/01/1990,Grays Harbor County                                         ,10.2%,5.5%,5.7%
03/01/1990,Clark County                                                ,5%,5.5%,5.7%
03/01/1990,Grant County                                                ,10.1%,5.5%,5.7%
03/01/1990,Columbia County                                             ,17.4%,5.5%,5.7%
03/01/1990,Cowlitz County                                              ,7.1%,5.5%,5.7%
03/01/1990,Garfield County                                             ,4%,5.5%,5.7%
03/01/1990,Douglas County                                              ,8.2%,5.5%,5.7%
03/01/1990,Ferry County                                                ,17.9%,5.5%,5.7%
03/01/1990,Franklin County                                             ,11.4%,5.5%,5.7%
03/01/1990,Yakima MSA                                                  ,13.6%,5.5%,5.7%
03/01/1990,Wenatchee MSA                                               ,9.2%,5.5%,5.7%
03/01/1990,Tacoma MSA                                                  ,4.9%,5.5%,5.7%
03/01/1990,Spokane MSA                                                 ,6.3%,5.5%,5.7%
03/01/1990,Seattle-Bellevue-Everett MSA                                ,4.2%,5.5%,5.7%
03/01/1990,Olympia MSA                                                 ,5.1%,5.5%,5.7%
03/01/1990,Mount Vernon-Anacortes MSA                                  ,7.6%,5.5%,5.7%
03/01/1990,Longview MSA                                                ,7.1%,5.5%,5.7%
03/01/1990,Kennewick-Richland-Pasco MSA                                ,7.5%,5.5%,5.7%
03/01/1990,Bremerton-Silverdale MSA                                    ,4.1%,5.5%,5.7%
03/01/1990,Bellingham MSA                                              ,5.9%,5.5%,5.7%
03/01/1990,Yakima County                                               ,13.6%,5.5%,5.7%
03/01/1990,Whitman County                                              ,1.6%,5.5%,5.7%
03/01/1990,Whatcom County                                              ,5.9%,5.5%,5.7%
03/01/1990,Walla Walla County                                          ,9.6%,5.5%,5.7%
03/01/1990,Wahkiakum County                                            ,6.9%,5.5%,5.7%
03/01/1990,Thurston County                                             ,5.1%,5.5%,5.7%
03/01/1990,Stevens County                                              ,11.5%,5.5%,5.7%
03/01/1990,Spokane County                                              ,6.3%,5.5%,5.7%
03/01/1990,Snohomish County                                            ,4.8%,5.5%,5.7%
03/01/1990,Skamania County                                             ,12.9%,5.5%,5.7%
03/01/1990,Skagit County                                               ,7.6%,5.5%,5.7%
03/01/1990,San Juan County                                             ,3.7%,5.5%,5.7%
03/01/1990,Pierce County                                               ,4.9%,5.5%,5.7%
03/01/1990,Pend Oreille County                                         ,17%,5.5%,5.7%
03/01/1990,Pacific County                                              ,9%,5.5%,5.7%
03/01/1990,Okanogan County                                             ,12.2%,5.5%,5.7%
03/01/1990,Mason County                                                ,6.4%,5.5%,5.7%
03/01/1990,Lincoln County                                              ,5.2%,5.5%,5.7%
03/01/1990,Lewis County                                                ,8.8%,5.5%,5.7%
03/01/1990,Klickitat County                                            ,16.9%,5.5%,5.7%
03/01/1990,Kittitas County                                             ,8.7%,5.5%,5.7%
04/01/1990,Walla Walla County                                          ,6%,5.3%,5%
04/01/1990,Mason County                                                ,5.4%,5.3%,5%
04/01/1990,Okanogan County                                             ,9.7%,5.3%,5%
04/01/1990,Clallam County                                              ,6.1%,5.3%,5%
04/01/1990,Spokane County                                              ,5.4%,5.3%,5%
04/01/1990,Columbia County                                             ,9%,5.3%,5%
04/01/1990,Snohomish County                                            ,4.2%,5.3%,5%
04/01/1990,Yakima MSA                                                  ,11.4%,5.3%,5%
04/01/1990,Wenatchee MSA                                               ,9.1%,5.3%,5%
04/01/1990,Clark County                                                ,4.4%,5.3%,5%
04/01/1990,Tacoma MSA                                                  ,4.4%,5.3%,5%
04/01/1990,Grant County                                                ,8.1%,5.3%,5%
04/01/1990,Spokane MSA                                                 ,5.4%,5.3%,5%
04/01/1990,Skamania County                                             ,10%,5.3%,5%
04/01/1990,Grays Harbor County                                         ,8.7%,5.3%,5%
04/01/1990,Island County                                               ,3.4%,5.3%,5%
04/01/1990,Seattle-Bellevue-Everett MSA                                ,3.9%,5.3%,5%
04/01/1990,Garfield County                                             ,2.4%,5.3%,5%
04/01/1990,Olympia MSA                                                 ,4.6%,5.3%,5%
04/01/1990,Skagit County                                               ,6.3%,5.3%,5%
04/01/1990,Jefferson County                                            ,4.5%,5.3%,5%
04/01/1990,Mount Vernon-Anacortes MSA                                  ,6.3%,5.3%,5%
04/01/1990,King County                                                 ,3.7%,5.3%,5%
04/01/1990,Longview MSA                                                ,6.7%,5.3%,5%
04/01/1990,Pierce County                                               ,4.4%,5.3%,5%
04/01/1990,Franklin County                                             ,7.8%,5.3%,5%
04/01/1990,Adams County                                                ,8.4%,5.3%,5%
04/01/1990,Kennewick-Richland-Pasco MSA                                ,5.9%,5.3%,5%
04/01/1990,Bremerton-Silverdale MSA                                    ,3.9%,5.3%,5%
04/01/1990,Kitsap County                                               ,3.9%,5.3%,5%
04/01/1990,Asotin County                                               ,5%,5.3%,5%
04/01/1990,Bellingham MSA                                              ,5%,5.3%,5%
04/01/1990,Pacific County                                              ,6.7%,5.3%,5%
04/01/1990,Kittitas County                                             ,7.9%,5.3%,5%
04/01/1990,Klickitat County                                            ,13.2%,5.3%,5%
04/01/1990,Yakima County                                               ,11.4%,5.3%,5%
04/01/1990,Cowlitz County                                              ,6.7%,5.3%,5%
04/01/1990,Whitman County                                              ,1.3%,5.3%,5%
04/01/1990,Ferry County                                                ,14.2%,5.3%,5%
04/01/1990,Lewis County                                                ,7%,5.3%,5%
04/01/1990,Benton County                                               ,5.3%,5.3%,5%
04/01/1990,Whatcom County                                              ,5%,5.3%,5%
04/01/1990,Pend Oreille County                                         ,14.8%,5.3%,5%
04/01/1990,San Juan County                                             ,3.1%,5.3%,5%
04/01/1990,Lincoln County                                              ,3.6%,5.3%,5%
04/01/1990,Douglas County                                              ,7.5%,5.3%,5%
04/01/1990,Chelan County                                               ,9.8%,5.3%,5%
04/01/1990,Wahkiakum County                                            ,4.5%,5.3%,5%
04/01/1990,Thurston County                                             ,4.6%,5.3%,5%
04/01/1990,Stevens County                                              ,9.7%,5.3%,5%
05/01/1990,Pierce County                                               ,4.5%,5.2%,4.9%
05/01/1990,Stevens County                                              ,7.5%,5.2%,4.9%
05/01/1990,Thurston County                                             ,4.5%,5.2%,4.9%
05/01/1990,Wahkiakum County                                            ,3.9%,5.2%,4.9%
05/01/1990,Island County                                               ,3.1%,5.2%,4.9%
05/01/1990,Mason County                                                ,5.2%,5.2%,4.9%
05/01/1990,Walla Walla County                                          ,4.6%,5.2%,4.9%
05/01/1990,Grays Harbor County                                         ,8.3%,5.2%,4.9%
05/01/1990,Whatcom County                                              ,4.8%,5.2%,4.9%
05/01/1990,Grant County                                                ,8.2%,5.2%,4.9%
05/01/1990,Lincoln County                                              ,3%,5.2%,4.9%
05/01/1990,Whitman County                                              ,1.4%,5.2%,4.9%
05/01/1990,Garfield County                                             ,2.1%,5.2%,4.9%
05/01/1990,Yakima County                                               ,9.7%,5.2%,4.9%
05/01/1990,Bellingham MSA                                              ,4.8%,5.2%,4.9%
05/01/1990,Franklin County                                             ,6.3%,5.2%,4.9%
05/01/1990,King County                                                 ,3.9%,5.2%,4.9%
05/01/1990,Ferry County                                                ,10.9%,5.2%,4.9%
05/01/1990,Douglas County                                              ,7.9%,5.2%,4.9%
05/01/1990,Cowlitz County                                              ,6.2%,5.2%,4.9%
05/01/1990,Bremerton-Silverdale MSA                                    ,3.9%,5.2%,4.9%
05/01/1990,Kennewick-Richland-Pasco MSA                                ,5.4%,5.2%,4.9%
05/01/1990,Columbia County                                             ,5.7%,5.2%,4.9%
05/01/1990,San Juan County                                             ,2.4%,5.2%,4.9%
05/01/1990,Longview MSA                                                ,6.2%,5.2%,4.9%
05/01/1990,Mount Vernon-Anacortes MSA                                  ,5.6%,5.2%,4.9%
05/01/1990,Olympia MSA                                                 ,4.5%,5.2%,4.9%
05/01/1990,Clark County                                                ,4.2%,5.2%,4.9%
05/01/1990,Clallam County                                              ,5.5%,5.2%,4.9%
05/01/1990,Skagit County                                               ,5.6%,5.2%,4.9%
05/01/1990,Seattle-Bellevue-Everett MSA                                ,3.9%,5.2%,4.9%
05/01/1990,Spokane MSA                                                 ,5.2%,5.2%,4.9%
05/01/1990,Chelan County                                               ,10.2%,5.2%,4.9%
05/01/1990,Benton County                                               ,5.1%,5.2%,4.9%
05/01/1990,Skamania County                                             ,8.1%,5.2%,4.9%
05/01/1990,Tacoma MSA                                                  ,4.5%,5.2%,4.9%
05/01/1990,Wenatchee MSA                                               ,9.4%,5.2%,4.9%
05/01/1990,Yakima MSA                                                  ,9.7%,5.2%,4.9%
05/01/1990,Asotin County                                               ,5.2%,5.2%,4.9%
05/01/1990,Adams County                                                ,13.9%,5.2%,4.9%
05/01/1990,Lewis County                                                ,6.8%,5.2%,4.9%
05/01/1990,Klickitat County                                            ,11.1%,5.2%,4.9%
05/01/1990,Jefferson County                                            ,4.1%,5.2%,4.9%
05/01/1990,Snohomish County                                            ,4.2%,5.2%,4.9%
05/01/1990,Spokane County                                              ,5.2%,5.2%,4.9%
05/01/1990,Kittitas County                                             ,7.4%,5.2%,4.9%
05/01/1990,Pacific County                                              ,6.2%,5.2%,4.9%
05/01/1990,Okanogan County                                             ,8.9%,5.2%,4.9%
05/01/1990,Kitsap County                                               ,3.9%,5.2%,4.9%
05/01/1990,Pend Oreille County                                         ,13%,5.2%,4.9%
06/01/1990,Bellingham MSA                                              ,4.2%,5.4%,4.7%
06/01/1990,Adams County                                                ,7.8%,5.4%,4.7%
06/01/1990,Asotin County                                               ,4.8%,5.4%,4.7%
06/01/1990,Benton County                                               ,5.1%,5.4%,4.7%
06/01/1990,Chelan County                                               ,7.7%,5.4%,4.7%
06/01/1990,Clallam County                                              ,4.9%,5.4%,4.7%
06/01/1990,Clark County                                                ,4.5%,5.4%,4.7%
06/01/1990,Columbia County                                             ,4.6%,5.4%,4.7%
06/01/1990,Cowlitz County                                              ,5.8%,5.4%,4.7%
06/01/1990,Douglas County                                              ,6.8%,5.4%,4.7%
06/01/1990,Ferry County                                                ,10.8%,5.4%,4.7%
06/01/1990,Franklin County                                             ,8%,5.4%,4.7%
06/01/1990,Garfield County                                             ,1.3%,5.4%,4.7%
06/01/1990,Grant County                                                ,7.4%,5.4%,4.7%
06/01/1990,Grays Harbor County                                         ,7.5%,5.4%,4.7%
06/01/1990,Island County                                               ,3.2%,5.4%,4.7%
06/01/1990,Jefferson County                                            ,3.6%,5.4%,4.7%
06/01/1990,King County                                                 ,3.8%,5.4%,4.7%
06/01/1990,Kitsap County                                               ,4%,5.4%,4.7%
06/01/1990,Kittitas County                                             ,7.3%,5.4%,4.7%
06/01/1990,Klickitat County                                            ,9.6%,5.4%,4.7%
06/01/1990,Lewis County                                                ,6.6%,5.4%,4.7%
06/01/1990,Lincoln County                                              ,3%,5.4%,4.7%
06/01/1990,Mason County                                                ,5.1%,5.4%,4.7%
06/01/1990,Okanogan County                                             ,7.6%,5.4%,4.7%
06/01/1990,Pacific County                                              ,5.9%,5.4%,4.7%
06/01/1990,Pend Oreille County                                         ,12.4%,5.4%,4.7%
06/01/1990,Pierce County                                               ,4.5%,5.4%,4.7%
06/01/1990,San Juan County                                             ,2%,5.4%,4.7%
06/01/1990,Skagit County                                               ,5.3%,5.4%,4.7%
06/01/1990,Skamania County                                             ,8.3%,5.4%,4.7%
06/01/1990,Snohomish County                                            ,4%,5.4%,4.7%
06/01/1990,Spokane County                                              ,5.1%,5.4%,4.7%
06/01/1990,Stevens County                                              ,7.9%,5.4%,4.7%
06/01/1990,Thurston County                                             ,4.6%,5.4%,4.7%
06/01/1990,Wahkiakum County                                            ,4%,5.4%,4.7%
06/01/1990,Walla Walla County                                          ,4.5%,5.4%,4.7%
06/01/1990,Whatcom County                                              ,4.2%,5.4%,4.7%
06/01/1990,Whitman County                                              ,1.7%,5.4%,4.7%
06/01/1990,Yakima County                                               ,7.8%,5.4%,4.7%
06/01/1990,Bremerton-Silverdale MSA                                    ,4%,5.4%,4.7%
06/01/1990,Kennewick-Richland-Pasco MSA                                ,5.8%,5.4%,4.7%
06/01/1990,Longview MSA                                                ,5.8%,5.4%,4.7%
06/01/1990,Mount Vernon-Anacortes MSA                                  ,5.3%,5.4%,4.7%
06/01/1990,Olympia MSA                                                 ,4.6%,5.4%,4.7%
06/01/1990,Seattle-Bellevue-Everett MSA                                ,3.8%,5.4%,4.7%
06/01/1990,Spokane MSA                                                 ,5.1%,5.4%,4.7%
06/01/1990,Tacoma MSA                                                  ,4.5%,5.4%,4.7%
06/01/1990,Wenatchee MSA                                               ,7.4%,5.4%,4.7%
06/01/1990,Yakima MSA                                                  ,7.8%,5.4%,4.7%
07/01/1990,Kitsap County                                               ,3.8%,5.6%,4.5%
07/01/1990,Klickitat County                                            ,7.2%,5.6%,4.5%
07/01/1990,Kittitas County                                             ,7.5%,5.6%,4.5%
07/01/1990,Yakima MSA                                                  ,8.6%,5.6%,4.5%
07/01/1990,Wenatchee MSA                                               ,6.5%,5.6%,4.5%
07/01/1990,Tacoma MSA                                                  ,4.3%,5.6%,4.5%
07/01/1990,Spokane MSA                                                 ,4.9%,5.6%,4.5%
07/01/1990,Seattle-Bellevue-Everett MSA                                ,3.5%,5.6%,4.5%
07/01/1990,Olympia MSA                                                 ,4.4%,5.6%,4.5%
07/01/1990,Mount Vernon-Anacortes MSA                                  ,5%,5.6%,4.5%
07/01/1990,Adams County                                                ,12.6%,5.6%,4.5%
07/01/1990,Asotin County                                               ,4.1%,5.6%,4.5%
07/01/1990,Longview MSA                                                ,5.5%,5.6%,4.5%
07/01/1990,Kennewick-Richland-Pasco MSA                                ,7%,5.6%,4.5%
07/01/1990,Bremerton-Silverdale MSA                                    ,3.8%,5.6%,4.5%
07/01/1990,Bellingham MSA                                              ,4.4%,5.6%,4.5%
07/01/1990,Yakima County                                               ,8.6%,5.6%,4.5%
07/01/1990,Benton County                                               ,5.6%,5.6%,4.5%
07/01/1990,Chelan County                                               ,7%,5.6%,4.5%
07/01/1990,Clallam County                                              ,4.8%,5.6%,4.5%
07/01/1990,Whitman County                                              ,1.6%,5.6%,4.5%
07/01/1990,Whatcom County                                              ,4.4%,5.6%,4.5%
07/01/1990,Clark County                                                ,4.2%,5.6%,4.5%
07/01/1990,Columbia County                                             ,10.1%,5.6%,4.5%
07/01/1990,Walla Walla County                                          ,4.8%,5.6%,4.5%
07/01/1990,Wahkiakum County                                            ,4%,5.6%,4.5%
07/01/1990,Thurston County                                             ,4.4%,5.6%,4.5%
07/01/1990,Cowlitz County                                              ,5.5%,5.6%,4.5%
07/01/1990,Douglas County                                              ,5.5%,5.6%,4.5%
07/01/1990,Ferry County                                                ,9.5%,5.6%,4.5%
07/01/1990,Stevens County                                              ,6.5%,5.6%,4.5%
07/01/1990,Spokane County                                              ,4.9%,5.6%,4.5%
07/01/1990,Snohomish County                                            ,3.8%,5.6%,4.5%
07/01/1990,Franklin County                                             ,11.1%,5.6%,4.5%
07/01/1990,Garfield County                                             ,1.4%,5.6%,4.5%
07/01/1990,Skamania County                                             ,6.9%,5.6%,4.5%
07/01/1990,Skagit County                                               ,5%,5.6%,4.5%
07/01/1990,San Juan County                                             ,1.6%,5.6%,4.5%
07/01/1990,Pierce County                                               ,4.3%,5.6%,4.5%
07/01/1990,Pend Oreille County                                         ,11.9%,5.6%,4.5%
07/01/1990,Grant County                                                ,7.6%,5.6%,4.5%
07/01/1990,Grays Harbor County                                         ,7.2%,5.6%,4.5%
07/01/1990,Island County                                               ,2.9%,5.6%,4.5%
07/01/1990,Pacific County                                              ,5.4%,5.6%,4.5%
07/01/1990,Okanogan County                                             ,7.2%,5.6%,4.5%
07/01/1990,Jefferson County                                            ,3.6%,5.6%,4.5%
07/01/1990,Mason County                                                ,4.8%,5.6%,4.5%
07/01/1990,King County                                                 ,3.5%,5.6%,4.5%
07/01/1990,Lincoln County                                              ,2.3%,5.6%,4.5%
07/01/1990,Lewis County                                                ,6%,5.6%,4.5%
08/01/1990,Grays Harbor County                                         ,7.3%,5.5%,4.5%
08/01/1990,Garfield County                                             ,1.7%,5.5%,4.5%
08/01/1990,Franklin County                                             ,9.7%,5.5%,4.5%
08/01/1990,Yakima MSA                                                  ,9.2%,5.5%,4.5%
08/01/1990,Wenatchee MSA                                               ,9.2%,5.5%,4.5%
08/01/1990,Tacoma MSA                                                  ,4.1%,5.5%,4.5%
08/01/1990,Spokane MSA                                                 ,4.6%,5.5%,4.5%
08/01/1990,Seattle-Bellevue-Everett MSA                                ,3.6%,5.5%,4.5%
08/01/1990,Olympia MSA                                                 ,4.3%,5.5%,4.5%
08/01/1990,Mount Vernon-Anacortes MSA                                  ,5.9%,5.5%,4.5%
08/01/1990,Longview MSA                                                ,5.7%,5.5%,4.5%
08/01/1990,Kennewick-Richland-Pasco MSA                                ,6.6%,5.5%,4.5%
08/01/1990,Bremerton-Silverdale MSA                                    ,3.9%,5.5%,4.5%
08/01/1990,Bellingham MSA                                              ,4.4%,5.5%,4.5%
08/01/1990,Yakima County                                               ,9.2%,5.5%,4.5%
08/01/1990,Whitman County                                              ,1.3%,5.5%,4.5%
08/01/1990,Whatcom County                                              ,4.4%,5.5%,4.5%
08/01/1990,Walla Walla County                                          ,5.1%,5.5%,4.5%
08/01/1990,Wahkiakum County                                            ,3%,5.5%,4.5%
08/01/1990,Thurston County                                             ,4.3%,5.5%,4.5%
08/01/1990,Stevens County                                              ,6%,5.5%,4.5%
08/01/1990,Spokane County                                              ,4.6%,5.5%,4.5%
08/01/1990,Snohomish County                                            ,3.8%,5.5%,4.5%
08/01/1990,Skamania County                                             ,7.5%,5.5%,4.5%
08/01/1990,Skagit County                                               ,5.9%,5.5%,4.5%
08/01/1990,San Juan County                                             ,1.7%,5.5%,4.5%
08/01/1990,Pierce County                                               ,4.1%,5.5%,4.5%
08/01/1990,Pend Oreille County                                         ,11.2%,5.5%,4.5%
08/01/1990,Adams County                                                ,6.2%,5.5%,4.5%
08/01/1990,Asotin County                                               ,4.2%,5.5%,4.5%
08/01/1990,Pacific County                                              ,6.8%,5.5%,4.5%
08/01/1990,Okanogan County                                             ,9.6%,5.5%,4.5%
08/01/1990,Mason County                                                ,5.1%,5.5%,4.5%
08/01/1990,Benton County                                               ,5.7%,5.5%,4.5%
08/01/1990,Chelan County                                               ,9.3%,5.5%,4.5%
08/01/1990,Lincoln County                                              ,1.8%,5.5%,4.5%
08/01/1990,Clallam County                                              ,5.2%,5.5%,4.5%
08/01/1990,Lewis County                                                ,5.9%,5.5%,4.5%
08/01/1990,Klickitat County                                            ,7.8%,5.5%,4.5%
08/01/1990,Clark County                                                ,4%,5.5%,4.5%
08/01/1990,Kittitas County                                             ,6.6%,5.5%,4.5%
08/01/1990,Kitsap County                                               ,3.9%,5.5%,4.5%
08/01/1990,King County                                                 ,3.5%,5.5%,4.5%
08/01/1990,Columbia County                                             ,11.3%,5.5%,4.5%
08/01/1990,Jefferson County                                            ,3.9%,5.5%,4.5%
08/01/1990,Island County                                               ,2.8%,5.5%,4.5%
08/01/1990,Cowlitz County                                              ,5.7%,5.5%,4.5%
08/01/1990,Douglas County                                              ,8.9%,5.5%,4.5%
08/01/1990,Ferry County                                                ,8.4%,5.5%,4.5%
08/01/1990,Grant County                                                ,6.2%,5.5%,4.5%
09/01/1990,Mount Vernon-Anacortes MSA                                  ,5.4%,5.6%,4.5%
09/01/1990,Yakima County                                               ,6.3%,5.6%,4.5%
09/01/1990,Wenatchee MSA                                               ,5.5%,5.6%,4.5%
09/01/1990,Klickitat County                                            ,6.5%,5.6%,4.5%
09/01/1990,Kittitas County                                             ,6.3%,5.6%,4.5%
09/01/1990,Kitsap County                                               ,4%,5.6%,4.5%
09/01/1990,King County                                                 ,3.8%,5.6%,4.5%
09/01/1990,Jefferson County                                            ,4.1%,5.6%,4.5%
09/01/1990,Island County                                               ,2.9%,5.6%,4.5%
09/01/1990,Lewis County                                                ,5.6%,5.6%,4.5%
09/01/1990,Lincoln County                                              ,2.5%,5.6%,4.5%
09/01/1990,Grays Harbor County                                         ,7.4%,5.6%,4.5%
09/01/1990,Grant County                                                ,5.7%,5.6%,4.5%
09/01/1990,Mason County                                                ,5%,5.6%,4.5%
09/01/1990,Okanogan County                                             ,6.2%,5.6%,4.5%
09/01/1990,Pacific County                                              ,6.7%,5.6%,4.5%
09/01/1990,Garfield County                                             ,1.7%,5.6%,4.5%
09/01/1990,Franklin County                                             ,7.5%,5.6%,4.5%
09/01/1990,Ferry County                                                ,8.2%,5.6%,4.5%
09/01/1990,Pend Oreille County                                         ,11.3%,5.6%,4.5%
09/01/1990,Pierce County                                               ,4.5%,5.6%,4.5%
09/01/1990,Douglas County                                              ,5.7%,5.6%,4.5%
09/01/1990,Cowlitz County                                              ,5.8%,5.6%,4.5%
09/01/1990,Columbia County                                             ,11.3%,5.6%,4.5%
